Wavelength (nm),PTAA_n,PTAA_k
300,1.611,0.133
301,1.605,0.139
302,1.599,0.146
303,1.593,0.153
304,1.587,0.16
305,1.581,0.167
306,1.575,0.174
307,1.569,0.181
308,1.563,0.188
309,1.557,0.195
310,1.551,0.201
311,1.552,0.208
312,1.554,0.215
313,1.555,0.222
314,1.556,0.228
315,1.557,0.235
316,1.558,0.242
317,1.56,0.249
318,1.561,0.255
319,1.562,0.262
320,1.563,0.269
321,1.566,0.271
322,1.569,0.273
323,1.572,0.276
324,1.575,0.278
325,1.578,0.28
326,1.581,0.282
327,1.584,0.285
328,1.587,0.287
329,1.59,0.289
330,1.592,0.291
331,1.592,0.293
332,1.592,0.295
333,1.592,0.297
334,1.592,0.299
335,1.592,0.301
336,1.592,0.303
337,1.592,0.305
338,1.592,0.307
339,1.592,0.309
340,1.592,0.311
341,1.593,0.318
342,1.595,0.324
343,1.596,0.331
344,1.597,0.337
345,1.599,0.344
346,1.6,0.35
347,1.601,0.357
348,1.603,0.363
349,1.604,0.37
350,1.606,0.376
351,1.614,0.383
352,1.622,0.39
353,1.63,0.397
354,1.638,0.403
355,1.646,0.41
356,1.654,0.417
357,1.662,0.423
358,1.67,0.43
359,1.678,0.437
360,1.687,0.443
361,1.7,0.445
362,1.714,0.446
363,1.728,0.448
364,1.742,0.449
365,1.755,0.451
366,1.769,0.452
367,1.783,0.453
368,1.797,0.455
369,1.81,0.456
370,1.824,0.458
371,1.838,0.448
372,1.851,0.438
373,1.865,0.428
374,1.878,0.418
375,1.892,0.408
376,1.906,0.398
377,1.919,0.388
378,1.933,0.378
379,1.946,0.368
380,1.96,0.358
381,1.962,0.343
382,1.964,0.329
383,1.967,0.314
384,1.969,0.3
385,1.971,0.285
386,1.973,0.271
387,1.975,0.256
388,1.977,0.242
389,1.979,0.227
390,1.982,0.213
391,1.977,0.204
392,1.973,0.195
393,1.969,0.185
394,1.965,0.176
395,1.961,0.167
396,1.956,0.158
397,1.952,0.149
398,1.948,0.14
399,1.944,0.131
400,1.94,0.122
401,1.935,0.117
402,1.93,0.113
403,1.926,0.108
404,1.921,0.103
405,1.917,0.099
406,1.912,0.094
407,1.907,0.089
408,1.903,0.085
409,1.898,0.08
410,1.894,0.075
411,1.89,0.073
412,1.886,0.07
413,1.883,0.068
414,1.879,0.065
415,1.875,0.063
416,1.871,0.06
417,1.868,0.058
418,1.864,0.055
419,1.86,0.053
420,1.856,0.051
421,1.854,0.049
422,1.851,0.048
423,1.848,0.046
424,1.845,0.045
425,1.842,0.043
426,1.839,0.042
427,1.836,0.04
428,1.833,0.039
429,1.83,0.037
430,1.827,0.036
431,1.825,0.035
432,1.823,0.034
433,1.82,0.033
434,1.818,0.032
435,1.816,0.031
436,1.813,0.03
437,1.811,0.029
438,1.809,0.028
439,1.807,0.028
440,1.804,0.027
441,1.802,0.026
442,1.8,0.025
443,1.799,0.025
444,1.797,0.024
445,1.795,0.023
446,1.793,0.023
447,1.791,0.022
448,1.789,0.022
449,1.787,0.021
450,1.785,0.02
451,1.784,0.02
452,1.782,0.019
453,1.781,0.019
454,1.779,0.019
455,1.778,0.018
456,1.776,0.018
457,1.775,0.017
458,1.773,0.017
459,1.772,0.016
460,1.77,0.016
461,1.769,0.016
462,1.767,0.015
463,1.766,0.015
464,1.765,0.015
465,1.764,0.014
466,1.762,0.014
467,1.761,0.014
468,1.76,0.013
469,1.758,0.013
470,1.757,0.013
471,1.756,0.013
472,1.755,0.012
473,1.754,0.012
474,1.753,0.012
475,1.752,0.012
476,1.75,0.011
477,1.749,0.011
478,1.748,0.011
479,1.747,0.011
480,1.746,0.01
481,1.745,0.01
482,1.744,0.01
483,1.743,0.01
484,1.742,0.01
485,1.741,0.01
486,1.74,0.009
487,1.739,0.009
488,1.738,0.009
489,1.737,0.009
490,1.736,0.009
491,1.736,0.008
492,1.735,0.008
493,1.734,0.008
494,1.733,0.008
495,1.732,0.008
496,1.731,0.008
497,1.731,0.008
498,1.73,0.007
499,1.729,0.007
500,1.728,0.007
501,1.727,0.007
502,1.727,0.007
503,1.726,0.007
504,1.725,0.007
505,1.725,0.007
506,1.724,0.007
507,1.723,0.006
508,1.722,0.006
509,1.722,0.006
510,1.721,0.006
511,1.72,0.006
512,1.72,0.006
513,1.719,0.006
514,1.718,0.006
515,1.718,0.006
516,1.717,0.005
517,1.716,0.005
518,1.716,0.005
519,1.715,0.005
520,1.714,0.005
521,1.714,0.005
522,1.713,0.005
523,1.713,0.005
524,1.712,0.005
525,1.711,0.005
526,1.711,0.005
527,1.71,0.005
528,1.71,0.005
529,1.709,0.004
530,1.709,0.004
531,1.708,0.004
532,1.708,0.004
533,1.707,0.004
534,1.706,0.004
535,1.706,0.004
536,1.705,0.004
537,1.705,0.004
538,1.704,0.004
539,1.704,0.004
540,1.703,0.004
541,1.703,0.004
542,1.702,0.004
543,1.702,0.004
544,1.701,0.004
545,1.701,0.003
546,1.701,0.003
547,1.7,0.003
548,1.7,0.003
549,1.699,0.003
550,1.699,0.003
551,1.698,0.003
552,1.698,0.003
553,1.697,0.003
554,1.697,0.003
555,1.696,0.003
556,1.696,0.003
557,1.696,0.003
558,1.695,0.003
559,1.695,0.003
560,1.694,0.003
561,1.694,0.003
562,1.694,0.003
563,1.693,0.003
564,1.693,0.003
565,1.692,0.003
566,1.692,0.003
567,1.692,0.002
568,1.691,0.002
569,1.691,0.002
570,1.69,0.002
571,1.69,0.002
572,1.69,0.002
573,1.689,0.002
574,1.689,0.002
575,1.689,0.002
576,1.688,0.002
577,1.688,0.002
578,1.688,0.002
579,1.687,0.002
580,1.687,0.002
581,1.686,0.002
582,1.686,0.002
583,1.686,0.002
584,1.685,0.002
585,1.685,0.002
586,1.685,0.002
587,1.684,0.002
588,1.684,0.002
589,1.684,0.002
590,1.684,0.002
591,1.683,0.002
592,1.683,0.002
593,1.683,0.002
594,1.682,0.002
595,1.682,0.002
596,1.682,0.002
597,1.681,0.002
598,1.681,0.002
599,1.681,0.002
600,1.68,0.002
601,1.68,0.002
602,1.68,0.001
603,1.68,0.001
604,1.679,0.001
605,1.679,0.001
606,1.679,0.001
607,1.678,0.001
608,1.678,0.001
609,1.678,0.001
610,1.678,0.001
611,1.677,0.001
612,1.677,0.001
613,1.677,0.001
614,1.677,0.001
615,1.676,0.001
616,1.676,0.001
617,1.676,0.001
618,1.676,0.001
619,1.675,0.001
620,1.675,0.001
621,1.675,0.001
622,1.674,0.001
623,1.674,0.001
624,1.674,0.001
625,1.674,0.001
626,1.673,0.001
627,1.673,0.001
628,1.673,0.001
629,1.673,0.001
630,1.673,0.001
631,1.672,0.001
632,1.672,0.001
633,1.672,0.001
634,1.672,0.001
635,1.671,0.001
636,1.671,0.001
637,1.671,0.001
638,1.671,0.001
639,1.67,0.001
640,1.67,0.001
641,1.67,0.001
642,1.67,0.001
643,1.67,0.001
644,1.669,0.001
645,1.669,0.001
646,1.669,0.001
647,1.669,0.001
648,1.669,0.001
649,1.668,0.001
650,1.668,0.001
651,1.668,0.001
652,1.668,0.001
653,1.667,0.001
654,1.667,0.001
655,1.667,0.001
656,1.667,0.001
657,1.667,0.001
658,1.666,0.001
659,1.666,0.001
660,1.666,0.001
661,1.666,0.001
662,1.666,0.001
663,1.665,0.001
664,1.665,0.001
665,1.665,0.001
666,1.665,0.001
667,1.665,0.001
668,1.665,0.001
669,1.664,0.001
670,1.664,0.001
671,1.664,0.001
672,1.664,0
673,1.664,0
674,1.663,0
675,1.663,0
676,1.663,0
677,1.663,0
678,1.663,0
679,1.663,0
680,1.662,0
681,1.662,0
682,1.662,0
683,1.662,0
684,1.662,0
685,1.662,0
686,1.661,0
687,1.661,0
688,1.661,0
689,1.661,0
690,1.661,0
691,1.661,0
692,1.66,0
693,1.66,0
694,1.66,0
695,1.66,0
696,1.66,0
697,1.66,0
698,1.659,0
699,1.659,0
700,1.659,0
701,1.659,0
702,1.659,0
703,1.659,0
704,1.658,0
705,1.658,0
706,1.658,0
707,1.658,0
708,1.658,0
709,1.658,0
710,1.658,0
711,1.657,0
712,1.657,0
713,1.657,0
714,1.657,0
715,1.657,0
716,1.657,0
717,1.657,0
718,1.656,0
719,1.656,0
720,1.656,0
721,1.656,0
722,1.656,0
723,1.656,0
724,1.656,0
725,1.655,0
726,1.655,0
727,1.655,0
728,1.655,0
729,1.655,0
730,1.655,0
731,1.655,0
732,1.655,0
733,1.654,0
734,1.654,0
735,1.654,0
736,1.654,0
737,1.654,0
738,1.654,0
739,1.654,0
740,1.653,0
741,1.653,0
742,1.653,0
743,1.653,0
744,1.653,0
745,1.653,0
746,1.653,0
747,1.653,0
748,1.652,0
749,1.652,0
750,1.652,0
751,1.652,0
752,1.652,0
753,1.652,0
754,1.652,0
755,1.652,0
756,1.652,0
757,1.651,0
758,1.651,0
759,1.651,0
760,1.651,0
761,1.651,0
762,1.651,0
763,1.651,0
764,1.651,0
765,1.65,0
766,1.65,0
767,1.65,0
768,1.65,0
769,1.65,0
770,1.65,0
771,1.65,0
772,1.65,0
773,1.65,0
774,1.65,0
775,1.649,0
776,1.649,0
777,1.649,0
778,1.649,0
779,1.649,0
780,1.649,0
781,1.649,0
782,1.649,0
783,1.649,0
784,1.648,0
785,1.648,0
786,1.648,0
787,1.648,0
788,1.648,0
789,1.648,0
790,1.648,0
791,1.648,0
792,1.648,0
793,1.648,0
794,1.647,0
795,1.647,0
796,1.647,0
797,1.647,0
798,1.647,0
799,1.647,0
800,1.647,0
801,1.647,0
802,1.647,0
803,1.647,0
804,1.646,0
805,1.646,0
806,1.646,0
807,1.646,0
808,1.646,0
809,1.646,0
810,1.646,0
811,1.646,0
812,1.646,0
813,1.646,0
814,1.646,0
815,1.645,0
816,1.645,0
817,1.645,0
818,1.645,0
819,1.645,0
820,1.645,0
821,1.645,0
822,1.645,0
823,1.645,0
824,1.645,0
825,1.645,0
826,1.644,0
827,1.644,0
828,1.644,0
829,1.644,0
830,1.644,0
831,1.644,0
832,1.644,0
833,1.644,0
834,1.644,0
835,1.644,0
836,1.644,0
837,1.644,0
838,1.643,0
839,1.643,0
840,1.643,0
841,1.643,0
842,1.643,0
843,1.643,0
844,1.643,0
845,1.643,0
846,1.643,0
847,1.643,0
848,1.643,0
849,1.643,0
850,1.642,0
851,1.642,0
852,1.642,0
853,1.642,0
854,1.642,0
855,1.642,0
856,1.642,0
857,1.642,0
858,1.642,0
859,1.642,0
860,1.642,0
861,1.642,0
862,1.642,0
863,1.641,0
864,1.641,0
865,1.641,0
866,1.641,0
867,1.641,0
868,1.641,0
869,1.641,0
870,1.641,0
871,1.641,0
872,1.641,0
873,1.641,0
874,1.641,0
875,1.641,0
876,1.641,0
877,1.64,0
878,1.64,0
879,1.64,0
880,1.64,0
881,1.64,0
882,1.64,0
883,1.64,0
884,1.64,0
885,1.64,0
886,1.64,0
887,1.64,0
888,1.64,0
889,1.64,0
890,1.64,0
891,1.639,0
892,1.639,0
893,1.639,0
894,1.639,0
895,1.639,0
896,1.639,0
897,1.639,0
898,1.639,0
899,1.639,0
900,1.639,0
901,1.639,0
902,1.639,0
903,1.639,0
904,1.639,0
905,1.639,0
906,1.638,0
907,1.638,0
908,1.638,0
909,1.638,0
910,1.638,0
911,1.638,0
912,1.638,0
913,1.638,0
914,1.638,0
915,1.638,0
916,1.638,0
917,1.638,0
918,1.638,0
919,1.638,0
920,1.638,0
921,1.638,0
922,1.637,0
923,1.637,0
924,1.637,0
925,1.637,0
926,1.637,0
927,1.637,0
928,1.637,0
929,1.637,0
930,1.637,0
931,1.637,0
932,1.637,0
933,1.637,0
934,1.637,0
935,1.637,0
936,1.637,0
937,1.637,0
938,1.636,0
939,1.636,0
940,1.636,0
941,1.636,0
942,1.636,0
943,1.636,0
944,1.636,0
945,1.636,0
946,1.636,0
947,1.636,0
948,1.636,0
949,1.636,0
950,1.636,0
951,1.636,0
952,1.636,0
953,1.636,0
954,1.636,0
955,1.636,0
956,1.635,0
957,1.635,0
958,1.635,0
959,1.635,0
960,1.635,0
961,1.635,0
962,1.635,0
963,1.635,0
964,1.635,0
965,1.635,0
966,1.635,0
967,1.635,0
968,1.635,0
969,1.635,0
970,1.635,0
971,1.635,0
972,1.635,0
973,1.635,0
974,1.634,0
975,1.634,0
976,1.634,0
977,1.634,0
978,1.634,0
979,1.634,0
980,1.634,0
981,1.634,0
982,1.634,0
983,1.634,0
984,1.634,0
985,1.634,0
986,1.634,0
987,1.634,0
988,1.634,0
989,1.634,0
990,1.634,0
991,1.634,0
992,1.634,0
993,1.633,0
994,1.633,0
995,1.633,0
996,1.633,0
997,1.633,0
998,1.633,0
999,1.633,0
1000,1.633,0
